cohort,time_days,survival,ci_low,ci_high,n_at_risk,events,censored
2025-11,0,1.0,1.0,1.0,50,0,0
2025-11,7,0.98,0.9411939798484823,1.0,50,1,0
2025-11,45,0.96,0.90568288667464,1.0,49,1,0
2025-11,54,0.94,0.8741720059549131,1.0,48,1,0
2025-11,91,0.9,0.816844242532462,0.983155757467538,47,2,0
2025-11,95,0.88,0.7899252577022837,0.9700747422977163,45,1,0
2025-11,97,0.8200000000000001,0.7135086707755041,0.9264913292244961,44,3,0
2025-11,99,0.78,0.6651767828355258,0.8948232171644742,41,2,0
2025-11,101,0.74,0.6184167906329168,0.8615832093670832,39,2,0
2025-11,102,0.6799999999999999,0.5506994075806301,0.8093005924193698,37,3,0
2025-11,103,0.6599999999999999,0.5286946276803572,0.7913053723196426,34,1,0
2025-11,104,0.6399999999999999,0.5069507880519392,0.7730492119480606,33,1,0
2025-11,105,0.5999999999999999,0.4642072166865999,0.7357927833133998,32,2,0
2025-11,107,0.5799999999999998,0.4431925616057371,0.7168074383942626,30,1,0
2025-11,109,0.5399999999999998,0.40185128013622406,0.6781487198637756,29,2,0
2025-11,111,0.49999999999999983,0.36140707088743657,0.6385929291125632,27,2,0
2025-11,112,0.43999999999999984,0.30240855840569136,0.5775914415943083,25,3,0
2025-11,113,0.39999999999999986,0.26420721668659997,0.5357927833133997,22,2,0
2025-11,115,0.37999999999999984,0.24545774195443268,0.514542258045567,20,1,0
2025-11,116,0.3599999999999999,0.22695078805193913,0.4930492119480606,19,1,0
2025-11,119,0.33999999999999986,0.20869462768035718,0.47130537231964253,18,1,0
2025-11,120,0.31999999999999984,0.19069940758063006,0.4493005924193696,17,1,0
2025-11,121,0.31999999999999984,0.19069940758063006,0.4493005924193696,16,0,2
2025-11,122,0.31999999999999984,0.19069940758063006,0.4493005924193696,14,0,1
2025-11,123,0.31999999999999984,0.19069940758063006,0.4493005924193696,13,0,2
2025-11,127,0.31999999999999984,0.19069940758063006,0.4493005924193696,11,0,1
2025-11,131,0.28799999999999987,0.15729988694725616,0.41870011305274357,10,1,0
2025-11,136,0.2559999999999999,0.12563892801913595,0.38636107198086383,9,1,0
2025-11,137,0.2559999999999999,0.12563892801913595,0.38636107198086383,8,0,1
2025-11,140,0.2559999999999999,0.12563892801913595,0.38636107198086383,7,0,1
