source_month,case_number,nickname,visa_type,visa_entry,consulate,major,status,check_date,complete_date,waiting_days_reported,waiting_days_calc,observed_days,event
2025-10,843721,welp,F1,Renewal,BeiJing,Neurobiology,Clear,2025-10-27,2026-01-15,80,80,,1
2025-10,843760,Poiss,F1,New,GuangZhou,CS PhD,Clear,2025-10-27,2026-02-23,119,119,,1
2025-10,843775,Feynman,F1,New,ShangHai,CS PHD,Clear,2025-10-27,2026-03-02,126,126,,1
2025-10,844428,今天就过,F1,Renewal,BeiJing,Biochemistry & Molecular,Clear,2025-10-27,2026-01-22,87,87,,1
2025-10,844438,zzb***@outlook.,F1,Renewal,BeiJing,CS PhD,Clear,2025-10-27,2026-02-25,121,121,,1
2025-10,843969,球球下签了,F1,New,Others,ME PhD,Pending,2025-10-28,0000-00-00,150,,150,0
2025-10,844279,快快快,F1,New,GuangZhou,mscs,Pending,2025-10-28,0000-00-00,150,,150,0
2025-10,844511,pk,F1,New,GuangZhou,Applied artificial intell,Pending,2025-10-28,0000-00-00,150,,150,0
2025-10,843732,Kirby,F1,New,GuangZhou,Mechanical Engineering,Clear,2025-10-29,2026-02-20,114,114,,1
2025-10,844735,Kirby,F1,New,GuangZhou,Mechanical Engineering,Clear,2025-10-29,2026-02-20,114,114,,1
2025-10,844365,求稳稳快快,F1,New,BeiJing,RA,Clear,2025-10-30,2026-03-18,139,139,,1
2025-10,844596,OliverS,F1,Renewal,GuangZhou,Electrical Engineering,Pending,2025-10-30,0000-00-00,148,,148,0
2025-10,844797,咕咕嘎嘎,F1,New,BeiJing,CS,Clear,2025-10-30,2026-02-26,119,119,,1
